Course,Title,Author
SOCI 250,Crime and Criminology,"White, Haines, Eisler"
soci 380,successful surveys,Guppu Gray
SOCI 484,Sociology of Health and Illness,Nettleton
SOCIO 100,How Socieities Work,Naiman
SOCIO 217,Fundamentals of Social Research,Babbie/Benaquisto
SOCIO 240A,Inner Lives and Social Work,Holstein
SOCIO 240A,Introduction to Social Interaction,Barblia
SPAN 101,Como se dice,"Jarvis, Lebredo, Ayllon"
SPAN 101/102,Como se Dice,Jarvis
SPAN 101/102,Como se dice,"Jarvis, Lebredo, Mena Ayllon"
SPAN 312A,Sandino’s Daughters,Randall
STAT 200,Introduction to the Practice of Statistics,Moore
Stat 302,First course in prob,
THTR 120,The Trial of Judith K.,Clark
WMST 101,Feminisms and Womanisms,Prince and Silva Wayne
WMST 101,Trans Liberation,Feinberg
WMST 101,Decolonizing Metholodologies,Smith
WMST 101,TransLiberation,Feinberg
WMST 101,Sister Outsider,"Lorde, Clarke"
WMST 101,Femininity and Domination,Bartky
WMST 224B,Of Love and Other Demons + The House of Spirits + GRSJ (WMST) 224B-002,Marquez + Allende + Chatzivasileiou
WMST 235,Femininity and Domination,Bartky
,The Elements of Style,"Strunk, White"
,"A Manual for Writers of Research Papers, Theses, and Dissertations",Turabian
,Harry Potter and the Chamber of Secrets (DVD set),n/a
,Fluency 4 with Information Technology,Snyder
,Film Art Introduction,"Bordwell, and Thompson"
,Natural Disasters The Catastrophic Earth,UBC
,Society the basics,Macionis
,Becoming an Ally,Bishop
,The Elusive quest for Growth,william Easterly
,Free Trade Under Fire,Gouglas Irwin
,The Catastrophic Earth: Natural Disasters,Keller
